,Unnamed: 0,id,name,price,effect,usage,picture,type,sale,number
0,0,1,阿酚咖敏片,￥0,功效：适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞等症状。,用法用量： 口服。成人，一次1～2片，一日3次。,http://img.99.com.cn/drug/200911/2009110301362044.jpg,家庭常备,43,116
1,1,2,阿咖酚散,￥8.28,功效：用于普通感冒或流行性感冒引起的发热，也用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。,用法用量： 口服。成人一次1包，若持续发热或疼痛，可间隔4-6小时重复用药一次，24小时内不超过4次。,http://img.99.com.cn/drug/200911/2009110302044566.jpg,家庭常备,32,452
2,2,3,阿咖酚散,￥5.00,功效：用于普通感冒或流行性感冒引起的发热，也用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。,用法用量： 口服。成人一次1包，若持续发热或疼痛，可间隔4-6小时重复用药一次，24小时内不超过4次。,http://img.99.com.cn/drug/200911/2009110301576850.jpg,家庭常备,16,409
3,3,4,阿咖酚散 头痛粉,￥9.13,功效：用于普通感冒或流行性感冒引起的发热，也用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。,用法用量： 口服。成人一次1包，若持续发热或疼痛，可间隔4-6小时重复用药一次，24小时内不超过4次。,http://img.99.com.cn/drug/200911/2009110301099831.jpg,家庭常备,2,115
4,4,5,阿咖酚散,￥7.60,功效：用于普通感冒或流行性感冒引起的发热，也用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。,用法用量： 口服。成人一次1包，若持续发热或疼痛，可间隔4-6小时重复用药一次，24小时内不超过4次。,http://img.99.com.cn/drug/200911/2009110302574014.jpg,家庭常备,37,429
5,5,6,阿司匹林片,￥0,功效：用于普通感冒或流行性感冒引起的发热，也用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。,"用法用量： 1    成人常用量口服。（1）    解热,镇痛：一次0.3g～0.6g,一日3次,必要时可每4小时一次；（2）    抗炎,抗风湿：一日3～6g,分4次口服；（3）    建议手术前开始,一次100mg～300mg,一日1次。胆道蛔虫病：一次1g,一日2～3次,连用2～3日；阵发性绞痛停止24小时后停用,然后进行驱虫治疗。2    小儿常用量口服。",http://img.99.com.cn/99/drug/noimg.png,家庭常备,96,475
6,6,7,阿司匹林维C肠溶片,￥18.60,功效：用于感冒或流感引起的发热、头痛；也用于缓解轻、中度疼痛如关节痛、神经痛、牙痛、月经痛、肌肉痛。,用法用量： 口服。成人，一次2片，一日3次。,http://img.99.com.cn/99/drug/2811071656.jpg,家庭常备,68,289
7,7,8,阿司匹林维生素C泡腾片,￥0,功效：用于缓解感冒或流感引起的发热，头痛及周身酸痛。,用法用量： 成人：每次1-2片，需要时每4-6小时可重复用药1次；将药片放入温水中溶解后服用。儿童：6-12岁每次1片，3-5岁每次1/2片，1-2岁每次1/3片，需用时每4-6小时可重复用药1次。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,70,327
8,8,9,安乃近滴剂,￥31.30,功效：用于小儿高热解热。,用法用量： 口服小儿按体重一次10～20mg/kg，一日2～3次。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,45,173
9,9,10,安乃近片,￥3.30,功效：用于高热时的解热，也可用于头痛、偏头痛、肌肉痛、关节痛、痛经等。本品亦有较强的抗风湿作用，可用于急性风湿性关节炎，但因本品有可能引起严重的不良反应，很少在风湿性疾病中应用。,用法用量： 口服成人常用量：一次0.5～1g，需要时服1次，最多一日3次。小儿：按体重一次10～20mg/kg，一日2～3次。,http://img.99.com.cn/drug/200911/2009110510508193.jpg,家庭常备,30,211
